period,airline,activity,count
201312,British Airways,Enplaned,16511
201105,Air New Zealand,Deplaned,7747
201506,Japan Airlines,Deplaned,6140
201103,Korean Air Lines,Enplaned,4376
201806,TACA,Enplaned,6789
201405,SAS Airlines,Deplaned,5796
201506,China Southern,Deplaned,3498
201412,Cathay Pacific,Enplaned,17848
201902,Jazz Aviation,Deplaned,6561
201908,Philippine Airlines,Deplaned,16773
201606,Compass Airlines,Deplaned,25343
201607,Air India Limited,Enplaned,3002
201607,KLM Royal Dutch Airlines,Deplaned,15279
201511,American Airlines,Enplaned,192259
201808,Delta Air Lines,Thru / Transit,227
201202,Emirates,Enplaned,9267
201108,Mesaba Airlines,Enplaned,3044
201303,United Airlines,Enplaned,216505
201703,Air India Limited,Deplaned,6152
201703,KLM Royal Dutch Airlines,Enplaned,8308
201211,Air Canada,Enplaned,17739
201709,Cathay Pacific,Deplaned,17362
201809,Thomas Cook Airlines,Enplaned,3305
201402,Compass Airlines,Enplaned,25888
201610,China Eastern,Deplaned,8260
201711,Jazz Aviation,Enplaned,3364
201403,China Eastern,Enplaned,5078
201001,Air New Zealand,Enplaned,6929
201101,TACA,Deplaned,5690
201110,Frontier Airlines,Enplaned,21375
201802,SAS Airlines,Deplaned,5235
201605,China Southern,Enplaned,6084
201209,Air China,Deplaned,7356
201605,Japan Airlines,Enplaned,6463
201901,Air India Limited,Enplaned,7813
201901,KLM Royal Dutch Airlines,Deplaned,8512
201907,Norwegian Air UK Ltd,Deplaned,7138
201005,Cathay Pacific,Deplaned,21458
201009,United Airlines - Pre 07/01/2013,Deplaned,540699
201312,Air France,Enplaned,8838
201012,United Airlines,Enplaned,63299
201603,Air China,Enplaned,7604
201201,JetBlue Airways,Enplaned,38921
201602,Lufthansa German Airlines,Deplaned,18081
201909,Compass Airlines,Enplaned,4687
201807,American Airlines,Deplaned,186757
201808,Aer Lingus,Enplaned,8073
201404,Swiss International,Deplaned,6437
201103,American Airlines,Deplaned,126797
201907,Air France,Deplaned,24710
201803,Air New Zealand,Deplaned,9612
201812,Hong Kong Airlines Limited,Deplaned,3629
201808,United Airlines,Enplaned,1127092
201201,Cathay Pacific,Deplaned,21222
201501,Alaska Airlines,Enplaned,53452
201507,Philippine Airlines,Deplaned,12907
201111,United Airlines - Pre 07/01/2013,Enplaned,531351
201611,Asiana Airlines,Enplaned,7894
201710,Air France,Deplaned,16084
201505,SAS Airlines,Enplaned,6426
201512,Alaska Airlines,Enplaned,59108
201206,US Airways,Deplaned,72186
201411,Air New Zealand,Enplaned,8849
201612,All Nippon Airways,Enplaned,7022
201612,Virgin Atlantic,Deplaned,9863
201707,Philippine Airlines,Deplaned,13278
201607,XL Airways France,Deplaned,4267
201904,Air Italy S.P.A,Enplaned,1307
201003,American Airlines,Deplaned,131215
201005,JetBlue Airways,Enplaned,39013
201108,Alaska Airlines,Enplaned,43599
201812,Finnair,Enplaned,414
201311,British Airways,Deplaned,15264
201202,Singapore Airlines,Deplaned,11766
201702,SAS Airlines,Deplaned,5147
201608,Air Canada,Deplaned,53693
201109,American Airlines,Deplaned,131379
201810,British Airways,Enplaned,19888
201709,JetBlue Airways,Enplaned,66150
201207,Philippine Airlines,Enplaned,9376
201006,Philippine Airlines,Deplaned,11066
201302,British Airways,Deplaned,14210
201905,Swiss International,Enplaned,9402
201902,Air New Zealand,Deplaned,6450
201102,Asiana Airlines,Deplaned,3784
201202,EVA Airways,Enplaned,10131
201308,Air China,Deplaned,9032
201304,Asiana Airlines,Enplaned,7009
201004,KLM Royal Dutch Airlines,Deplaned,8598
201604,SkyWest Airlines,Enplaned,163471
201807,Aer Lingus,Deplaned,9360
201612,Emirates,Deplaned,11468
201109,Southwest Airlines,Thru / Transit,21
201806,French Bee,Enplaned,3677
201808,American Airlines,Enplaned,180348
201810,Finnair,Enplaned,1532
201307,Aeromexico,Deplaned,5822
201906,Iberia,Enplaned,5964
201003,United Airlines,Deplaned,55239
201408,Southwest Airlines,Enplaned,150889
201802,Alaska Airlines,Deplaned,61029
201909,Qantas Airways,Enplaned,9749
201107,Philippine Airlines,Deplaned,11771
201002,Asiana Airlines,Enplaned,4560
201308,Cathay Pacific,Enplaned,17904
201810,Hong Kong Airlines Limited,Deplaned,4095
201111,AirTran Airways,Enplaned,14424
201410,Delta Air Lines,Enplaned,131254
201711,Hawaiian Airlines,Enplaned,15861
201211,Korean Air Lines,Enplaned,6445
201201,Air China,Enplaned,6915
201906,China Eastern,Deplaned,9960
201603,JetBlue Airways,Enplaned,61551
201606,Qantas Airways,Deplaned,8753
201804,"COPA Airlines, Inc.",Deplaned,9771
201805,China Southern,Enplaned,8433
201109,United Airlines,Deplaned,77469
201805,Japan Airlines,Enplaned,6565
201301,TACA,Enplaned,6100
201511,Etihad Airways,Enplaned,5434
201203,TACA,Enplaned,5348
201904,Air New Zealand,Enplaned,5398
201903,Lufthansa German Airlines,Deplaned,20090
201511,Aer Lingus,Enplaned,4612
201408,Sun Country Airlines,Enplaned,9516
201003,Southwest Airlines,Thru / Transit,168
201811,Swiss International,Enplaned,8698
201209,JetBlue Airways,Deplaned,40960
201803,WOW Air,Enplaned,4302
201812,British Airways,Enplaned,16083
201112,Hawaiian Airlines,Enplaned,8339
201307,Virgin America,Deplaned,175855
201511,United Airlines,Enplaned,711754
201209,Cathay Pacific,Enplaned,15823
201608,WestJet Airlines,Deplaned,8285
201204,Swiss International,Deplaned,6222
201202,Virgin Atlantic,Enplaned,6280
201202,All Nippon Airways,Deplaned,7097
201005,Air China,Enplaned,7608
201409,Air France,Deplaned,14146
201606,Aeromexico,Enplaned,13306
201909,Hong Kong Airlines Limited,Thru / Transit,566
201303,American Airlines,Enplaned,129314
201310,Japan Airlines,Deplaned,4880
201402,Aeromexico,Deplaned,7786
201612,Singapore Airlines,Enplaned,14565
201603,Cathay Pacific,Deplaned,20930
201608,Korean Air Lines,Deplaned,10672
201807,Southwest Airlines,Thru / Transit,106
201103,Southwest Airlines,Thru / Transit,310
201406,China Eastern,Deplaned,6233
201410,Sun Country Airlines,Deplaned,6509
201410,United Airlines,Thru / Transit,414
201009,AirTran Airways,Deplaned,15982
201402,Virgin America,Deplaned,135119
201702,Alaska Airlines,Deplaned,56370
201308,JetBlue Airways,Deplaned,51419
201105,Hawaiian Airlines,Deplaned,7468
201612,EVA Airways,Deplaned,16807
201408,Delta Air Lines,Deplaned,160853
201709,Air China,Enplaned,9131
201807,United Airlines,Deplaned,1158773
201205,Lufthansa German Airlines,Enplaned,23927
201012,American Airlines,Enplaned,125536
201712,Philippine Airlines,Enplaned,13405
201103,United Airlines,Deplaned,58031
201612,Turkish Airlines,Deplaned,7488
201505,Alaska Airlines,Enplaned,64263
201510,Asiana Airlines,Enplaned,8342
201512,SAS Airlines,Enplaned,5412
201606,Virgin America,Enplaned,229120
201410,Southwest Airlines,Deplaned,144431
201305,Asiana Airlines,Deplaned,8363
201907,ABC Aerolineas S.A. de C.V. dba Interjet,Enplaned,5485
201909,Aeromexico,Deplaned,11606
201501,SAS Airlines,Enplaned,4251
201901,EVA Airways,Enplaned,27800
201607,Singapore Airlines,Deplaned,15635
201901,Turkish Airlines,Enplaned,10064
201504,Alaska Airlines,Deplaned,61368
201409,British Airways,Deplaned,18815
201106,Aeromexico,Enplaned,3342
201309,Virgin America,Enplaned,151826
201303,Korean Air Lines,Deplaned,6237
201109,Air Canada,Enplaned,26582
201608,American Airlines,Enplaned,197187
201703,Singapore Airlines,Enplaned,13162
201107,US Airways,Deplaned,76782
201308,Horizon Air,Deplaned,5703
201004,All Nippon Airways,Deplaned,6164
201602,SkyWest Airlines,Deplaned,151899
201004,Virgin Atlantic,Enplaned,7861
201412,Air China,Deplaned,7713
201810,ABC Aerolineas S.A. de C.V. dba Interjet,Deplaned,2708
201607,EVA Airways,Enplaned,15819
201003,Air Canada,Enplaned,17193
201901,Singapore Airlines,Deplaned,16589
201607,Turkish Airlines,Enplaned,7172
201804,Compass Airlines,Enplaned,27759
201012,Korean Air Lines,Deplaned,3886
201703,EVA Airways,Deplaned,17050
201001,Hawaiian Airlines,Enplaned,6786
201508,TACA,Deplaned,8356
201609,Swiss International,Enplaned,9713
201110,Delta Air Lines,Deplaned,126545
201704,Swiss International,Enplaned,7190
201502,China Airlines,Deplaned,8594
201703,Turkish Airlines,Deplaned,7201
201701,Asiana Airlines,Deplaned,8629
201904,Jazz Aviation,Enplaned,7832
201705,China Airlines,Enplaned,10184
201106,Virgin America,Enplaned,149302
201309,Aeromexico,Enplaned,5347
201407,JetBlue Airways,Deplaned,46423
201703,Emirates,Deplaned,11371
201401,SAS Airlines,Deplaned,4269
201807,Air Canada,Enplaned,52196
201808,Korean Air Lines,Deplaned,18704
201407,Cathay Pacific,Enplaned,16951
201405,Alaska Airlines,Deplaned,50638
201103,Air Canada,Enplaned,21041
201209,Horizon Air,Deplaned,5027
201011,TACA,Enplaned,4316
201708,Asiana Airlines,Deplaned,9097
201110,Southwest Airlines,Enplaned,125743
201607,Emirates,Enplaned,13703
201808,WestJet Airlines,Deplaned,12038
201803,Hawaiian Airlines,Deplaned,15739
201006,Pacific Aviation,Enplaned,160
201411,Hawaiian Airlines,Enplaned,8572
201503,Air China,Enplaned,7836
201102,Mesa Airlines,Enplaned,4020
201110,Air Berlin,Deplaned,1325
201408,Republic Airlines,Enplaned,93
201202,KLM Royal Dutch Airlines,Deplaned,5253
201907,Finnair,Deplaned,4691
201611,Mesa Airlines,Deplaned,46
201211,American Airlines,Deplaned,120389
201212,Alaska Airlines,Deplaned,40376
201901,Emirates,Enplaned,12570
201711,WOW Air,Deplaned,1926
201110,Sun Country Airlines,Enplaned,3309
201511,Air Canada,Deplaned,25246
201902,Hawaiian Airlines,Deplaned,13530
201210,Japan Airlines,Deplaned,5493
201907,Hong Kong Airlines Limited,Enplaned,3589
201812,Air France,Enplaned,7321
201411,Swiss International,Deplaned,5536
201811,WOW Air,Enplaned,167
201812,Frontier Airlines,Deplaned,13634
201804,American Airlines,Deplaned,155768
201201,Alaska Airlines,Deplaned,37086
201101,SkyWest Airlines,Deplaned,139458
201501,Cathay Pacific,Enplaned,16513
201612,SkyWest Airlines,Thru / Transit,57
201009,Virgin Atlantic,Enplaned,10640
201803,Swiss International,Enplaned,8441
201009,All Nippon Airways,Deplaned,5931
201512,Cathay Pacific,Enplaned,19954
201906,Philippine Airlines,Deplaned,16533
201701,China Southern,Enplaned,5927
201701,Japan Airlines,Enplaned,5320
201312,Sun Country Airlines,Deplaned,6845
